element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
H,1,"=""""","=""""","=""434.0430904""","=""0.0000023""","=""""","=""4.2955e+05""",AAA,"=""82258.9191133""","=""[105291.63094]""","=""2p""","=""2P*""","=""1/2""","=""5s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
H,1,"=""""","=""""","=""434.0433568""","=""0.0000023""","=""""","=""4.9483e+06""",AAA,"=""82258.9543992821""","=""105291.65209""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
H,1,"=""""","=""""","=""434.0437554""","=""0.0000023""","=""""","=""""",,"=""82258.9543992821""","=""[105291.63094]""","=""2s""","=""2S""","=""1/2""","=""5s""","=""2S""","=""1/2""",M1,"=""""","=""""",
H,1,"=""""","=""""","=""434.0437982""","=""0.0000023""","=""""","=""4.9484e+06""",AAA,"=""82258.9543992821""","=""105291.62867""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
H,1,"=""""","=""""","=""434.04634""","=""0.00011""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c61""",
H,1,"=""434.0472""","=""0.0006""","=""434.0471""","=""0.0003""","=""90000""","=""2.5304e+06""",AAA,"=""82259.158""","=""105291.657""","=""2""","=""""","=""""","=""5""","=""""","=""""",,"=""T8637""","=""L7436c29""",
H,1,"=""""","=""""","=""434.0494419""","=""0.0000022""","=""""","=""9.4254e+06""",AAA,"=""82259.2850014""","=""[105291.659796]""","=""2p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
H,1,"=""""","=""""","=""434.04947""","=""0.00004""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c62""",
H,1,"=""""","=""""","=""434.0495889""","=""0.0000022""","=""""","=""1.5709e+06""",AAA,"=""82259.2850014""","=""105291.651993""","=""2p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
H,1,"=""""","=""""","=""434.0499857""","=""0.0000023""","=""""","=""8.5920e+05""",AAA,"=""82259.2850014""","=""[105291.63094]""","=""2p""","=""2P*""","=""3/2""","=""5s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
He,1,"=""""","=""""","=""438.3278555""","=""0.0000022""","=""""","=""5.317e+00""",AA,"=""[171134.894441]""","=""[193942.45968763]""","=""1s.2p""","=""1P*""","=""1""","=""1s.5p""","=""1P*""","=""1""",E2,"=""T7378""","=""""",
He,1,"=""438.79296""","=""0.00006""","=""438.7929143""","=""0.0000022""","=""10""","=""8.9889e+06""",AAA,"=""[171134.894441]""","=""[193918.28729754]""","=""1s.2p""","=""1P*""","=""1""","=""1s.5d""","=""1D""","=""2""",,"=""T8636c73""","=""L14926""",
He,1,"=""443.7551""","=""""","=""443.7553428""","=""0.0000022""","=""3""","=""3.2689e+06""",AAA,"=""[171134.894441]""","=""[193663.509489]""","=""1s.2p""","=""1P*""","=""1""","=""1s.5s""","=""1S""","=""0""",,"=""T8636c73""","=""L14925c72""",
Be,3,"=""""","=""""","=""445.828""","=""0.020""","=""""","=""1.3409e+07""",AAA,"=""[1179511.40]""","=""[1201935.30]""","=""1s.4d""","=""1D""","=""2""","=""1s.5p""","=""1P*""","=""1""",,"=""T8636c73""","=""""",
He,1,"=""447.14802""","=""0.00015""","=""447.1470373""","=""0.0000022""","=""200*""","=""6.8275e+05""",AAA,"=""[169086.76391031]""","=""[191444.49804915]""","=""1s.2p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""1""",,"=""T8636c73""","=""L14926""",
He,1,"=""447.14802""","=""0.00015""","=""447.1474077""","=""0.0000022""","=""200*""","=""6.1440e+06""",AAA,"=""[169086.76391031]""","=""[191444.47952984]""","=""1s.2p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""2""",,"=""T8636c73""","=""L14926""",
He,1,"=""447.14802""","=""0.00015""","=""447.1474317""","=""0.0000022""","=""200*""","=""2.4579e+07""",AAA,"=""[169086.76391031]""","=""[191444.47832914]""","=""1s.2p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""3""",,"=""T8636c73""","=""L14926""",
He,1,"=""447.14802""","=""0.00015""","=""447.1485658""","=""0.0000022""","=""200*""","=""1.0241e+07""",AAA,"=""[169086.84033581]""","=""[191444.49804915]""","=""1s.2p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""1""",,"=""T8636c73""","=""L14926""",
He,1,"=""447.14802""","=""0.00015""","=""447.1489362""","=""0.0000022""","=""200*""","=""1.8432e+07""",AAA,"=""[169086.84033581]""","=""[191444.47952984]""","=""1s.2p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""2""",,"=""T8636c73""","=""L14926""",
He,1,"=""""","=""""","=""447.1683251""","=""0.0000022""","=""25""","=""1.3655e+07""",AAA,"=""[169087.82825101]""","=""[191444.49804915]""","=""1s.2p""","=""3P*""","=""0""","=""1s.4d""","=""3D""","=""1""",,"=""T8636c73""","=""L366""",
Be,3,"=""""","=""""","=""448.651""","=""0.016""","=""""","=""5.6329e+06""",AAA,"=""[1179467.30]""","=""[1201750.10]""","=""1s.4d""","=""3D""","=""3""","=""1s.5f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""448.651""","=""0.016""","=""""","=""4.1315e+07""",AAA,"=""[1179467.30]""","=""[1201750.10]""","=""1s.4d""","=""3D""","=""2""","=""1s.5f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
Be,3,"=""448.552""","=""""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1653""",
Be,3,"=""""","=""""","=""449.96""","=""0.06""","=""""","=""2.9047e+06""",AAA,"=""[1179526.10]""","=""[1201744.3]""","=""1s.4f""","=""1F*""","=""3""","=""1s.5d""","=""1D""","=""2""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""449.96""","=""0.06""","=""""","=""1.2088e+06""",AAA,"=""[1179526.10]""","=""[1201744.3]""","=""1s.4f""","=""3F*""","=""3""","=""1s.5d""","=""1D""","=""2""",,"=""T8636c73""","=""""",
